lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
53.2904,67.0672,11430,lightblue,Мұққыр өзені – Мұқыр ауылы,2026-03-25,Мәні,1040,156,NA,NA,565 665,level
52.5372,68.7893,11432,lightblue,Жабай өзені – Балкашино ауылы,2026-03-25,Мәні,520,-43,NA,NA,565 665,level
51.7982,68.3685,11433,lightblue,Жабай өзені – Атбасар қ.,2026-03-25,Мәні,820,132,NA,0,564 665,level
52.7428,67.6603,11453,lightblue,Бабық-Бұрлық өзені – Гусаковка ауылы (Рухловка ауылы),2026-03-25,Мәні,1220,386,0.37,0,564,level
53.6583,67.4128,11461,lightblue,Иманбұрлық өзені – Соколовка ауылы,2026-03-25,Мәні,NA,76,0.17,0,565,level
52.5786,67.6824,11468,lightblue,Аққанбұрлық өзені – Ковыльное ауылы (Привольное ауылы),2026-03-25,Мәні,1520,195,NA,0,565 665,level
52.7918,66.7581,11469,lightblue,Аққанбұрлық өзені – Григорьевка ауылы (Возвышенка ауылы),2026-03-25,Мәні,NA,156,1.64,0,565,level
51.0923,66.3185,11471,lightblue,Есіл өзені – Державинск қ.,2026-03-25,Мәні,1120,221,4.84,NA,565,level
52.1017,68.3128,11472,lightblue,Жыланды өзені – Шуйское ауылы,2026-03-25,Мәні,1260,576,,NA,565,level
53.0046,67.3719,11473,lightblue,Шарық өзені – Андреевка ауылы,2026-03-25,Мәні,980,289,NA,NA,565 665,level
52.8157,66.9322,11474,lightblue,Шарық өзені – Рузаевка ауылы,2026-03-25,Мәні,780,156,0.22,NA,564,level
51.585,67.59833,11476,lightblue,Есіл ө. – Жаңа Қима а.,2026-03-25,Мәні,NA,499,NA,NA,NA,level
53.57333,67.59444,11477,lightblue,Сарыөзек ө. – Сухорабовка а.,2026-03-25,Мәні,NA,NA,NA,NA,575,level
52.4742,65.3672,11479,lightblue,Қарасу өзені – Люблинка ауылы,2026-03-25,Мәні,1000,598,NA,NA,665,level
52.0841,69.6243,11485,lightblue,Аршалы өзені – Буденовка ауылы,2026-03-25,Мәні,1250,475,,NA,565,level
52.3925,65.7941,11486,lightblue,Тімтуір өзені – Кошевое ауылы,2026-03-25,Мәні,913,487,,NA,665,level
52.28444,70.09066,11491,lightblue,Жолболды ө. – Иванковка а.,2026-03-25,Мәні,NA,371,NA,NA,NA,level
52.4012,70.21974,11492,lightblue,Қайрақты ө. – Вознесенка а.,2026-03-25,Мәні,NA,NA,NA,NA,575,level
52.05237,69.61144,11600,lightblue,Қоңыр ө. – Новобратское а.,2026-03-25,Мәні,NA,687,NA,NA,NA,level
53.51026,69.52898,11611,lightblue,р. Шагалалы-  с. Алексеевка,2026-03-25,Мәні,NA,668,NA,NA,NA,level
50.99868,68.16822,11612,lightblue,Шортанбай ө. – Сочинское а.,2026-03-25,Мәні,NA,938,NA,NA,NA,level
51.28125,66.05361,11613,lightblue,Коко  ө. – Костычево а.,2026-03-25,Мәні,NA,469,NA,NA,NA,level
51.99573,66.57433,11614,lightblue,Қызылсу ө. – Свободное а.,2026-03-25,Мәні,NA,233,NA,NA,NA,level
52.55125,67.24642,11615,lightblue,Ақанбұрлық ө. – Чистополье а.,2026-03-25,Мәні,NA,376,NA,NA,565,level
52.58317,66.49967,11616,lightblue,Есіл ө. – Дружба а.,2026-03-25,Мәні,NA,331,NA,NA,565 537,level
55.00739,69.10433,11617,lightblue,Есіл ө. – Ольшанка а.,2026-03-25,Мәні,NA,363,NA,NA,565,level
54.78853,69.00158,11618,lightblue,Есіл ө. – Сосновый бор (Вороний аралы),2026-03-25,Мәні,NA,531,NA,NA,565 537,level
54.69847,68.98311,11619,lightblue,Есіл ө. – Новокаменка а.,2026-03-25,Мәні,NA,1199,NA,NA,565,level
